7974.2 1:22.8709213584 2:22.5735705334 3:123.4204990903 4:22.0762157775 5:22.2286118285 6:149.0176953815 7:65.5879635633 8:106.9783060764 9:109.9548770288 10:20.5643336012 11:75.2355372984 12:99.2952741771 13:84.7099856417 14:77.4177190208 15:97.1154852473 16:72.1961214912 17:70.6875384376 18:105.953883645 19:63.0816564704 20:91.3734265362 21:84.6193580776 22:67.8229538507 23:74.8507593913 24:76.2122186867 
2342.4 1:21.3166216385 2:22.6270073365 3:81.2043046144 4:24.1527898296 5:22.6628585206 6:109.4545956544 7:26.7212479553 8:84.1826206614 9:85.5236571078 10:21.274155086 11:20 12:84.1684438122 13:35.0343619966 14:35.9427586162 15:82.3458945212 16:34.0362432391 17:34.5457755749 18:130.3094466606 19:29.7022958137 20:105.7125441279 21:34.8297003622 22:31.7274456712 23:33.353912078 24:77.8681325051 
2357.5 1:21.3549624921 2:22.9540216588 3:74.2562301877 4:22.0447289365 5:21.1550035143 6:158.8598161798 7:25.2426483318 8:56.5438563364 9:82.5405749225 10:22.0733838561 11:23.2255198457 12:80.9550350897 13:35.7459786289 14:34.4216534017 15:100.4693953561 16:31.9844420628 17:35.7768784785 18:118.5230476125 19:30.5440938392 20:57.7177926205 21:34.7164214759 22:30.5468312416 23:33.8680669608 24:78.6196867441 
1520 1:21.6554692944 2:21.6630555 3:99.5543203832 4:22.8415239142 5:23.9712654257 6:156.6126340758 7:24.8930442987 8:68.359664414 9:81.4610700622 10:20 11:23.7972024671 12:117.5219981322 13:33.7101910562 14:34.2111932108 15:84.2670156441 16:32.7396878259 17:32.0188834357 18:106.9357214873 19:29.3918900371 20:94.4125075781 21:33.0176040019 22:29.8714288771 23:31.3202906765 24:80.8433709138 
1634.6 1:22.1632042848 2:22.5733183621 3:106.5600946718 4:20.2221251392 5:20 6:153.2105825301 7:24.6608707713 8:64.63625716 9:81.6422250497 10:22.3798551233 11:22.8122422209 12:91.8820973575 13:30.7320591504 14:31.777875464 15:77.9395022097 16:32.59415822 17:33.0025852943 18:109.1260886644 19:27.9099366091 20:65.6204441808 21:30.6712856354 22:29.2862276063 23:31.8476194787 24:71.6758914503 
18662.7 1:23.4563870095 2:24.805515094 3:127.8971228285 4:22.3371028104 5:21.1138652063 6:231.0998906462 7:93.3343930953 8:103.4795475316 9:97.7432324734 10:22.853823966 11:71.7763623442 12:134.9247582635 13:90.6442677356 14:67.3160063916 15:109.895173455 16:68.2092875237 17:67.7116046335 18:129.7273746013 19:72.4245177729 20:102.3835658975 21:104.5603871128 22:68.0217940138 23:58.0187365823 24:82.7578265669 
16179.8 1:20.4934374818 2:20.7142671109 3:89.7234019941 4:21.687792124 5:21.9049187588 6:226.0153185298 7:87.1164891057 8:77.7864086133 9:88.9409225852 10:23.2310241189 11:42.791703109 12:114.7921481442 13:87.1755871954 14:67.9073768763 15:120.9363908259 16:70.3812115718 17:68.6786476399 18:134.4830829482 19:73.7827694391 20:73.8021072035 21:97.9456723617 22:70.3210052641 23:57.0672106405 24:78.4038934837 
14604.8 1:20.8710515749 2:20 3:126.0807656572 4:20 5:20 6:243.6533853933 7:116.8373391089 8:92.4981094679 9:135.496044576 10:21.7785872532 11:24.5325908364 12:134.4950656689 13:109.913806739 14:95.270534991 15:119.3313385121 16:90.7699112847 17:84.1022774462 18:161.8227448345 19:93.6687661345 20:83.8050209599 21:110.5245701451 22:77.035773466 23:74.4615562113 24:97.4425423303 
12514.1 1:20 2:20 3:133.9961190894 4:20 5:20 6:270.8617689656 7:127.1197345598 8:82.4844324203 9:176.2283703688 10:20 11:20 12:155.5505867823 13:123.3802615293 14:122.5707221594 15:132.9351819169 16:116.6830385451 17:107.3891519129 18:173.6241116167 19:106.8915114475 20:99.6181680153 21:115.0062195395 22:80.4732216168 23:95.3922706898 24:109.0353382011 
11290.4 1:20 2:20 3:112.2363521504 4:20 5:20 6:248.8845280347 7:97.3664250447 8:89.9891136498 9:161.5814765294 10:20 11:20.4748891056 12:128.7729375903 13:82.6211341743 14:74.5049241715 15:123.153371987 16:68.9425031487 17:79.4856307824 18:149.5220582154 19:75.2354793571 20:93.1041755704 21:89.869270652 22:73.5554862433 23:78.6105305376 24:110.3195510795 
12559 1:20 2:20 3:152.985041629 4:20 5:20 6:274.0397345797 7:105.313394821 8:112.1642352826 9:199.1471716488 10:20 11:20 12:115.1416325939 13:119.5763494822 14:92.4628303944 15:111.4976731853 16:87.0852390721 17:92.6615598399 18:148.7003103804 19:80.8743914152 20:133.9042907026 21:106.3929276108 22:72.9761399194 23:71.4740540079 24:95.6000054479 
8435.9 1:20 2:20 3:176.3514955026 4:20 5:20 6:277.1269754879 7:110.7012289644 8:104.2968555131 9:184.1988152928 10:20 11:20 12:127.1115483642 13:129.9744164644 14:87.320229811 15:98.2824378428 16:79.3552248198 17:86.759753796 18:140.278631997 19:76.7277199409 20:112.7734679598 21:107.2808649606 22:69.1540177443 23:75.3870829325 24:94.3350549325 
9626.5 1:20 2:20 3:121.7864780635 4:20 5:20 6:223.4991708436 7:116.5736427633 8:115.9858476774 9:169.8470939208 10:20 11:20 12:205.9678864396 13:112.0859955546 14:79.8258043182 15:116.8242879586 16:73.3635463156 17:74.1490240382 18:125.649554991 19:80.5653674292 20:99.1454806568 21:97.7712890706 22:58.4605691473 23:65.2795419721 24:92.5052249217 
17496.3 1:20 2:20 3:110.4775366037 4:20 5:20 6:238.8861768373 7:115.7749022119 8:113.2973741696 9:108.8301833932 10:20 11:79.7345005834 12:144.5246657561 13:86.2444903375 14:73.5554721515 15:112.5525147621 16:67.0902384996 17:68.5887888263 18:131.7618570701 19:76.4566345987 20:103.7093679896 21:91.2892695759 22:56.2966627773 23:61.2640965223 24:88.5012898505 
14439.7 1:25.5906439236 2:23.6860091482 3:149.0264352234 4:22.3085769042 5:21.8728456847 6:210.2143699593 7:122.7526376856 8:87.0798241664 9:120.9697863701 10:20 11:54.4185521757 12:123.9361420882 13:85.8619038571 14:71.9619762572 15:95.3993866235 16:68.2370875922 17:65.4261128223 18:126.7079808206 19:73.6851105638 20:70.4616224005 21:78.4045761461 22:58.4706543819 23:62.7825546586 24:81.9659907218 
10562 1:22.0791181162 2:21.1023770202 3:100.8269604295 4:20 5:20 6:205.603968886 7:135.9681604744 8:86.3597726823 9:115.7149540139 10:20 11:53.3795739073 12:153.8807587094 13:100.3540040738 14:85.3715655602 15:134.3971018134 16:84.1573749323 17:85.8181532653 18:147.4894859559 19:94.5289562172 20:90.9697812342 21:86.0827432775 22:63.0772965218 23:66.166349381 24:89.6440097988 
17601.6 1:22.8812322329 2:20.9931106219 3:134.1284029336 4:21.2533428786 5:22.6329387212 6:213.0261414509 7:120.1528159304 8:85.0226813019 9:126.8474907042 10:20 11:21.2186218355 12:159.441095393 13:107.422299091 14:91.2553324297 15:114.6822407629 16:82.597684213 17:76.0181633605 18:148.1076543085 19:94.6414010963 20:78.6261806902 21:92.506699394 22:67.3545963479 23:71.4191895361 24:93.167702102 
10297.8 1:22.4856511079 2:24.4348570336 3:105.4079958264 4:22.5352805998 5:22.1716731254 6:199.1523859481 7:105.6820663041 8:79.7580905159 9:104.9788239547 10:24.0610935928 11:25.6616809126 12:138.8279929547 13:90.0349481996 14:76.4138940623 15:125.5019700924 16:74.207317848 17:74.2121863366 18:143.5753896097 19:77.4107653773 20:79.4772092579 21:80.4808332632 22:63.240901078 23:64.4926882942 24:93.7012788257 
11279.2 1:20.0990195136 2:22.8963036472 3:120.7467298611 4:21.8358934796 5:22.5181132818 6:226.6203736533 7:87.5872479098 8:103.7805348615 9:123.9387117142 10:23.1772257914 11:47.0548465761 12:129.6063875895 13:93.4515738386 14:80.1230666089 15:117.7870279691 16:74.6570462196 17:72.8155357388 18:120.9856244809 19:69.8652748332 20:89.8375422292 21:89.860407058 22:73.1990831473 23:75.2086760505 24:91.5681836567 
19124.3 1:20.5992712229 2:22.9392643827 3:125.0616466624 4:20.9169753791 5:24.9684081658 6:145.7080144747 7:64.1693367205 8:94.1820519994 9:105.7831085493 10:20.4040043976 11:56.1071965516 12:99.1832130659 13:98.5388975425 14:94.7145153044 15:97.2643372705 16:92.4345367927 17:89.4874433982 18:115.0949813136 19:82.2985078364 20:100.9752190506 21:110.6405808482 22:88.9163591649 23:94.8282670444 24:91.2972133897 
16722.9 1:23.0070600561 2:22.5105842213 3:134.8043658559 4:22.1526587214 5:21.1643091382 6:196.4365840914 7:98.1248600169 8:85.9458221798 9:114.1693776551 10:21.5094423195 11:65.4194764968 12:145.6721202846 13:96.2315358887 14:84.5054051488 15:136.7362369832 16:91.9301879469 17:89.8339418766 18:151.9986193253 19:93.1167846852 20:87.6715977254 21:112.0683254606 22:82.9640947068 23:66.598347555 24:96.6149493027 
20000 1:20 2:20 3:116.0297198437 4:20 5:20 6:214.1755333475 7:122.771063738 8:94.8363009987 9:148.1785063424 10:20 11:96.3500122998 12:151.8152625696 13:128.0989429184 14:117.7133697766 15:131.2776779864 16:104.7862198585 17:97.9242571855 18:178.6280882018 19:96.788753334 20:98.0490432739 21:124.7620067976 22:84.9675117924 23:79.2684069364 24:108.9420885708 
16055.7 1:20 2:20 3:126.3624146598 4:20 5:20 6:245.6205136055 7:130.7221511317 8:86.8417299426 9:152.6207542526 10:20 11:48.9869921505 12:129.4254923661 13:123.5067113664 14:109.6886180707 15:127.3897375441 16:102.438821233 17:100.2299005758 18:166.9877261006 19:103.8508144255 20:113.2100761192 21:125.3111293817 22:85.3095861584 23:81.201641578 24:104.189547603 
19233.1 1:20 2:20 3:159.833780276 4:20 5:20 6:289.5984835512 7:114.7479671263 8:78.5491788442 9:189.3377316837 10:20 11:36.2944305093 12:120.0453086771 13:144.3405383082 14:146.3802697459 15:138.6387608402 16:121.8183917576 17:122.8901695881 18:171.960271431 19:104.7751659559 20:125.0584183916 21:113.4119282914 22:90.2703778671 23:87.71257803 24:108.995341855 
19361.3 1:20 2:20 3:139.11624468 4:20 5:20 6:203.9633693256 7:119.1822150556 8:79.1981129364 9:204.8502050038 10:20 11:42.6090082865 12:206.8226429928 13:135.3954893788 14:118.2415063741 15:117.2198166948 16:127.2172872525 17:117.627235651 18:157.9293464403 19:111.767577754 20:109.0764141827 21:129.6890754464 22:83.1365386087 23:83.356186449 24:126.0068375377 
19771.7 1:20 2:20 3:105.0520192291 4:20 5:20 6:162.9438656656 7:156.8624364243 8:76.0283033175 9:202.480947459 10:20 11:48.6054846389 12:198.7002018834 13:114.3572330694 14:106.3688315312 15:116.8129059503 16:99.7593509161 17:110.4480763747 18:164.751760792 19:105.7629781019 20:125.0796266602 21:111.9008256833 22:89.1836289779 23:76.2986037603 24:108.9719993439 
20000 1:20 2:20 3:119.1490476415 4:20 5:20 6:232.5702392058 7:126.4530319126 8:88.2412363581 9:200.9353318764 10:20 11:29.1223413896 12:100.0896171402 13:142.1861145959 14:114.0865204164 15:113.3067725174 16:105.6570688522 17:107.3500487059 18:151.6701007781 19:104.6014323432 20:129.9442752208 21:129.9628161705 22:89.6350742123 23:85.429743855 24:102.6640957363 
18909.1 1:20 2:20 3:119.2434070102 4:20 5:20 6:198.0282245589 7:139.5065159464 8:96.3671699638 9:209.8359191617 10:20 11:46.506575645 12:158.7001427141 13:150.8546097015 14:116.9781696996 15:117.8828629787 16:104.7738808782 17:106.6949871189 18:150.0240621453 19:105.5869232446 20:132.7292169844 21:138.9991878057 22:90.5647830326 23:87.9911382564 24:105.1367643923 
20000 1:20 2:20 3:127.6729401017 4:20 5:20 6:213.0710065928 7:116.2060396051 8:64.8431350027 9:145.378198853 10:20 11:26.5081587399 12:85.8651419429 13:122.6094416478 14:101.3214784271 15:110.2391745868 16:89.8692602104 17:88.266388415 18:142.6238359264 19:90.3498745578 20:96.4229732026 21:102.9362994826 22:79.3732284828 23:76.8351414882 24:99.932315842 
19906.3 1:20 2:20 3:147.7488615737 4:20 5:20 6:243.9344856447 7:134.4849796278 8:72.7925107628 9:133.2211986679 10:20 11:25.084469554 12:96.300505313 13:122.3675895881 14:99.3258793657 15:124.4207125762 16:91.2469422473 17:80.3547286163 18:145.5198612716 19:92.9995676837 20:83.9240355125 21:100.4153773456 22:74.8558137462 23:73.8196279557 24:97.8107975705 
19236.1 1:20.6056426938 2:20.7279220614 3:149.7966078809 4:20 5:20 6:289.362022602 7:115.3776735882 8:95.0015159735 9:129.142998306 10:20 11:42.5543373335 12:121.0392820155 13:110.2240371115 14:90.4526446368 15:135.6467035133 16:90.0633151468 17:82.5066044033 18:138.3349595234 19:88.3201412358 20:84.0094703686 21:98.8915956204 22:68.5142736761 23:70.6821833713 24:95.2280016039 
18923.4 1:24.0155088935 2:24.3397958615 3:128.2491454223 4:22.7494379287 5:21.7564966265 6:237.3504532169 7:119.8016390102 8:95.1784023971 9:126.1104216524 10:22.2520132564 11:35.9145784433 12:134.6866625175 13:106.3459964858 14:87.3219511582 15:126.244524427 16:83.7610237268 17:84.2347032003 18:146.7990711127 19:92.5247176615 20:81.7162494279 21:94.210087604 22:68.5154888963 23:70.4654062051 24:95.625893071 
13112.8 1:22.2927155638 2:22.2245354085 3:110.3668008693 4:21.6734177373 5:22.2248641886 6:182.0560385146 7:128.5360337125 8:119.3477095698 9:124.3817802512 10:21.3000390037 11:59.8756346834 12:119.2578763294 13:100.0496127804 14:77.0267600056 15:116.3735373092 16:73.0113952136 17:74.8857665559 18:137.0465492771 19:91.6217029463 20:105.767102406 21:99.8056280549 22:66.2147484668 23:69.8272295846 24:84.1774126775 
4192.9 1:22.738862803 2:22.3945352737 3:122.8520341365 4:22.0891510044 5:23.7380212253 6:109.8032351651 7:70.3242752259 8:84.1326147569 9:99.0538948697 10:22.0385291934 11:57.5986571512 12:94.4289483388 13:73.2976140361 14:66.4470757598 15:86.4945961951 16:63.7724048509 17:61.8749665885 18:94.1810377518 19:57.4466228611 20:67.5013111426 21:66.9562113867 22:55.3168117659 23:56.6387859149 24:58.44229251 
5442.9 1:21.5741095972 2:22.2851506399 3:106.4807515272 4:25.0138453787 5:22.0816341994 6:132.1481643064 7:62.9468254899 8:72.0382576111 9:85.6070115237 10:20.4185038497 11:69.1588659656 12:116.6053644533 13:56.7633202525 14:62.0866152443 15:105.3722081236 16:62.7422243353 17:59.3475718017 18:112.7543628946 19:61.5485558944 20:64.0220609866 21:66.4396325271 22:53.4153399945 23:61.4187254389 24:85.725660429 
7097.7 1:20.2853832858 2:20 3:110.1456142083 4:20 5:20 6:148.3686756099 7:73.2470511693 8:107.7410887457 9:107.9827309535 10:22.128589645 11:144.6886755036 12:131.6427480068 13:69.3771477175 14:85.3468699055 15:122.0632763897 16:76.1793614291 17:77.3456129587 18:137.4085031358 19:68.0502781309 20:123.0566589324 21:73.8927413928 22:68.7373915067 23:85.6329132705 24:88.8826636404 
7293.5 1:24.5434942921 2:22.54854771 3:115.8256345059 4:20.7434704667 5:22.6044464672 6:149.3956443953 7:71.0399798365 8:127.6690925727 9:123.4832806236 10:22.7938833766 11:129.2239653657 12:169.9634482359 13:88.9447789381 14:85.2685852227 15:122.7179411158 16:78.0729525127 17:85.0248704218 18:143.6419225465 19:71.6092304138 20:116.7997787298 21:74.8370384111 22:69.3790442697 23:87.7332619899 24:106.2390153022 
10356.1 1:21.2509675545 2:20 3:159.5419261946 4:20 5:20 6:224.1803328808 7:91.9559156498 8:90.0623316716 9:124.4702956647 10:20 11:127.3407677274 12:129.5944689212 13:84.7564798477 14:82.3363957862 15:107.0422798293 16:70.758024191 17:74.2721795682 18:142.7748912178 19:66.9293703884 20:83.3105328963 21:74.5803253697 22:60.3117389951 23:72.2094077161 24:87.86726051 
11345.1 1:23.5267036814 2:20.9335146618 3:82.874151647 4:21.8195469216 5:22.5809962033 6:164.0791694141 7:58.7534671849 8:104.4890592668 9:77.5049335625 10:23.0883381203 11:123.7581928644 12:109.7746731585 13:56.8520884673 14:57.6418264702 15:89.8152079805 16:50.6746990354 17:54.3283320695 18:108.9004036134 19:52.41233382 20:96.8953854574 21:68.5340297419 22:55.7178367343 23:66.924673105 24:84.5607441008 
9330.4 1:22.187181516 2:21.0113134657 3:96.7165538554 4:21.9889632759 5:22.0884041996 6:176.5174622877 7:86.0763005804 8:103.7987679943 9:93.7772587972 10:24.1913216155 11:140.0684362474 12:115.0789227405 13:74.1223683749 14:61.7189240465 15:105.4053546807 16:58.8973701355 17:57.1131749867 18:123.2502881782 19:55.6383125638 20:89.877221364 21:63.2668388934 22:52.4442888822 23:69.9585876801 24:68.5810804822 
9825.2 1:20 2:20 3:170.472103567 4:20 5:20 6:223.2517327228 7:97.171761046 8:92.4567852048 9:161.4310961604 10:20 11:94.3285719802 12:137.0273500353 13:94.659257094 14:79.4886956209 15:117.9876750078 16:69.8279906901 17:77.6713666094 18:147.2734769327 19:63.4166435972 20:77.99613562 21:84.4909142914 22:67.0523911084 23:70.5150699044 24:91.5962831405 
8626.7 1:20 2:20 3:149.2599451669 4:20 5:20 6:183.1356631758 7:88.8521041252 8:123.0278524571 9:168.0523616708 10:20 11:146.3681056876 12:166.7180219677 13:106.5910348532 14:80.6613921069 15:125.0813498053 16:76.3972336276 17:82.3350704122 18:159.1906775966 19:68.9507300294 20:110.9128910132 21:94.3134470854 22:66.9678823203 23:82.5325853087 24:102.6248655693 
14041.8 1:20 2:20 3:182.8341373945 4:20 5:20 6:236.4979664164 7:105.3381160859 8:83.3090649127 9:172.1437692084 10:20 11:38.5473210495 12:136.7893112719 13:126.5189071132 14:102.2777535038 15:145.0267234224 16:95.8686291844 17:93.6701327109 18:166.5763911716 19:97.7996252081 20:83.9069487168 21:96.5442713647 22:82.4686673651 23:76.6292667481 24:124.7268006889 
12070.1 1:21.6424103155 2:20.3839144678 3:117.0748197275 4:20 5:20 6:202.018833549 7:97.1363230383 8:95.2427826532 9:116.5260284569 10:20 11:48.6864475201 12:185.8145679307 13:102.3490920458 14:85.1120744646 15:134.8024102766 16:87.6394846695 17:77.1155614688 18:145.1293787935 19:83.5678968138 20:93.6078132345 21:78.6261554614 22:68.5456695018 23:61.8743796554 24:111.6072778969 
10190.1 1:20.4998137426 2:22.1651711576 3:131.8682822663 4:20.2948982848 5:20 6:216.7681092591 7:93.5150853224 8:83.1527662451 9:115.7407333278 10:20 11:51.0247025809 12:166.0407911916 13:91.8171202029 14:78.6725220832 15:134.077673437 16:82.9083906099 17:76.9255820378 18:138.1072686521 19:77.1643835761 20:73.191039764 21:79.0847635753 22:65.3245827105 23:62.6808136646 24:102.2740033752 
13637.3 1:21.7913015207 2:22.5410471688 3:149.1710681355 4:21.2762968582 5:21.5494959893 6:248.4658905215 7:72.3016210588 8:115.6520806456 9:113.7551969639 10:22.3324058428 11:115.2477693045 12:139.5541385399 13:77.7943716635 14:67.9519230741 15:116.4757088555 16:64.8884133028 17:57.2197182758 18:113.6793321423 19:60.8958679292 20:104.3727057623 21:82.7862861264 22:60.4311087118 23:68.8551807512 24:95.2369652451 
11553.3 1:20.8988448632 2:22.9504192187 3:126.7565206468 4:22.413421491 5:21.4861014322 6:232.123567996 7:68.8956624327 8:105.7648877678 9:95.5393511728 10:23.7747003168 11:108.3356172665 12:137.9693489195 13:72.2442255829 14:59.9309913495 15:109.0103564563 16:57.8542928678 17:59.4008479513 18:122.4871352256 19:58.6165881109 20:92.9170054493 21:76.0672749234 22:53.8378612259 23:62.7977081285 24:86.1715459329 
10429.8 1:22.6507285656 2:23.2652644372 3:112.3335147074 4:20.6212327846 5:21.5446352774 6:145.9797798581 7:52.2120426158 8:86.4665759731 9:116.2105124593 10:23.0906692056 11:51.7004401679 12:102.5983495198 13:84.0486942811 14:77.3258135763 15:88.8844891775 16:72.1449319688 17:73.2410564215 18:102.8265642513 19:62.0128572092 20:81.1431756805 21:87.9430033841 22:70.0992336789 23:74.6185848718 24:75.1830833134 
5919.6 1:21.1769685588 2:63.1233326998 3:123.3059741302 4:21.4447811787 5:21.9610604176 6:114.7713769186 7:60.2083216538 8:99.8824975269 9:81.466993031 10:21.1103282774 11:92.2774848314 12:153.3617069155 13:75.1479184979 14:76.9670947383 15:111.1488953102 16:73.4791745284 17:72.1832783173 18:134.2954927995 19:66.0654325598 20:107.8226377784 21:57.3211547501 22:63.3344683976 23:80.7778208935 24:90.5319302461 
6123.3 1:21.6801895356 2:20.5711554686 3:155.3071333289 4:21.9093653886 5:20.507506377 6:174.4768015755 7:73.0825105601 8:94.9072415682 9:125.1850382895 10:21.0361661096 11:108.8538081794 12:120.4027333568 13:83.9767650989 14:89.8511922402 15:110.3635073755 16:75.5690835648 17:79.7021679591 18:148.2867587658 19:66.9033933156 20:88.7788006622 21:65.8289878229 22:74.3429181754 23:85.5019185384 24:92.636666458 
6718.4 1:20 2:20 3:139.5105609698 4:20 5:20 6:199.6498187214 7:65.082091249 8:110.6571577161 9:152.332402298 10:20.1558648785 11:85.7091936918 12:145.6634820579 13:81.5078865403 14:87.5169449145 15:130.4689573373 16:77.2469452196 17:80.2556544704 18:163.1594345381 19:71.6897081213 20:118.3250973448 21:78.5247532952 22:77.5662488876 23:88.0481771766 24:121.6716738166 
5881.1 1:20 2:20 3:133.7988598786 4:20 5:20 6:195.4040849001 7:65.5832257872 8:105.6440898904 9:149.2346250495 10:20 11:84.4786746676 12:126.644775446 13:74.4356450292 14:83.8018332279 15:117.3714780005 16:74.8506785432 17:76.9318694326 18:165.5007353332 19:66.332230759 20:76.0963155788 21:76.9891804984 22:79.1187463885 23:84.3124048591 24:107.1316434633 
5411 1:20 2:20 3:112.2117421383 4:20 5:20 6:157.472209511 7:69.1334057402 8:109.3005559742 9:139.708643364 10:20 11:69.7656946521 12:155.3412848885 13:71.9733727514 14:74.4969997306 15:121.6853226162 16:67.2470617685 17:73.7842150615 18:155.8933519611 19:67.9956906209 20:103.9110550046 21:79.1482080501 22:73.9493743633 23:80.5590869241 24:114.6440258843 
6305.7 1:20 2:20 3:156.2470237908 4:20 5:20 6:212.7750927923 7:66.1383258475 8:87.2931002558 9:146.5758037682 10:20 11:55.032264477 12:135.5266545667 13:87.6589435709 14:75.3571823372 15:116.5148920911 16:70.9831222589 17:70.8598885099 18:154.9194052017 19:64.5778977654 20:91.6728463766 21:82.69465885 22:77.9704966682 23:73.9332565484 24:111.1245699417 
5777.5 1:22.4750468245 2:20 3:129.3289665917 4:20 5:20 6:217.3377759833 7:64.9531387759 8:112.0886310388 9:143.8492913319 10:20 11:60.2358379912 12:135.4099605474 13:90.6344552939 14:81.9211065315 15:139.5754005112 16:72.8693672787 17:78.4747543115 18:159.4211005859 19:68.3193438897 20:116.9113118412 21:75.9340724658 22:76.2327138481 23:71.7081511811 24:109.8532760992 
6371.1 1:20.7160134029 2:22.8302785124 3:126.6764489735 4:21.4458208873 5:21.1643082197 6:193.0513065645 7:75.1183301888 8:108.5613276442 9:140.7165366609 10:20 11:53.4816116242 12:191.8749733077 13:90.1306406323 14:82.0669907024 15:133.5333452348 16:85.2490865934 17:79.2063907638 18:151.0066605453 19:71.3927712518 20:116.4573856979 21:80.3181473015 22:76.8913828864 23:68.2281314713 24:121.4108022715 
6024.9 1:21.081121092 2:22.6212606428 3:133.4545719156 4:22.0837370559 5:20.2221251392 6:205.9608015318 7:90.5971054309 8:127.1112141948 9:141.697550828 10:21.0710678119 11:88.952231076 12:191.8165883784 13:89.9314231308 14:83.3305002063 15:130.7336595398 16:80.9957525113 17:84.3599307381 18:153.9606287832 19:74.9498721092 20:126.6438813327 21:83.5951280918 22:86.4256824989 23:76.9838579469 24:116.0017044663 
5004.8 1:22.5358305853 2:21.9403284262 3:126.8769883227 4:22.9971685194 5:23.4341836189 6:172.7739364123 7:77.1923719685 8:89.7127290651 9:98.8110364399 10:22.4392869375 11:62.8780341341 12:128.7098405845 13:46.379648961 14:62.5799145454 15:102.6428371508 16:65.5039970319 17:67.2154707762 18:130.7345618126 19:60.1207589795 20:86.5471364884 21:66.1357978359 22:65.1786741626 23:64.6817485987 24:89.702136205 
5809.3 1:21.588799492 2:21.6558117016 3:80.8259918615 4:21.3673933016 5:23.5846419263 6:151.0113875154 7:54.9495034493 8:86.978119038 9:85.8736818394 10:21.9791803563 11:88.4389035615 12:90.5987548175 13:60.268338365 14:55.2679110833 15:98.7156780509 16:56.8820440821 17:53.4928266572 18:129.8620767139 19:48.6194772588 20:78.08054266 21:54.9091650693 22:47.6336156963 23:56.2291615221 24:75.2203921063 
5582 1:20 2:21.1770403146 3:107.814574615 4:23.4953958258 5:21.0092451221 6:170.4593516203 7:48.9614550817 8:109.6687576981 9:94.0603623196 10:20.4471705284 11:81.6374858522 12:93.6702162581 13:55.9263885825 14:50.8764818313 15:101.7199892481 16:48.1153338117 17:50.4595913153 18:116.8402032068 19:44.0255743456 20:88.8190958267 21:56.4507400164 22:44.057412039 23:49.9655357096 24:70.7711779569 
3218.9 1:22.0855019187 2:20.7185800015 3:82.6639912799 4:20 5:23.267969196 6:87.3587853066 7:35.0610661755 8:72.6820048469 9:104.1002905453 10:21.7748795944 11:34.5236430732 12:72.0280430358 13:53.5198974354 14:53.5319943893 15:62.5774934862 16:53.6134848767 17:52.3402187656 18:72.6179611807 19:45.3997483177 20:56.8086955808 21:57.8102587637 22:47.5105331924 23:51.7009369377 24:54.1022759157 
4716.2 1:27.5717256573 2:21.2278374361 3:100.0235199798 4:20.9058227584 5:21.6578192735 6:158.4639043845 7:59.4171568872 8:81.6952168602 9:85.1292097427 10:21.525108799 11:108.3742323853 12:93.5647773239 13:52.9368719164 14:49.7987568109 15:86.7664564979 16:46.0677658574 17:46.823375898 18:109.6157354105 19:45.4631831918 20:62.3404887632 21:54.3529262111 22:48.4190757798 23:62.5776199904 24:64.3301951622 
15723.7 1:21.6666113294 2:20.5813162845 3:127.1413655593 4:21.3820575399 5:22.4108818618 6:167.7001565725 7:92.9013720066 8:111.5999218687 9:111.8756303743 10:21.8883465207 11:103.715268807 12:115.6881060905 13:81.4156243518 14:69.2230824956 15:93.3470739216 16:70.0087961233 17:69.6366622641 18:127.2274334292 19:64.6018141283 20:98.5464570502 21:82.490394825 22:56.6735069257 23:65.2876617398 24:76.9138244222 
15322.1 1:20 2:20 3:147.0845553655 4:20 5:20 6:245.1099460515 7:108.962628659 8:85.1095663688 9:134.9304502279 10:20 11:136.2458336199 12:162.7109339732 13:96.979938598 14:96.8684355723 15:106.8390009125 16:87.1801865725 17:85.4580863224 18:158.2700463089 19:81.9345474817 20:95.3831555036 21:86.7778439635 22:73.2268398598 23:78.0120345736 24:95.8426673888 
14261.5 1:21.9120776048 2:20.1830841125 3:143.9537499816 4:22.0111958614 5:21.1622776602 6:197.7682302118 7:95.473490811 8:134.0254294192 9:142.62200098 10:21.2124711629 11:129.4761187709 12:208.9015822905 13:105.7265616105 14:105.3731855384 15:133.3899310639 16:88.870315542 17:91.397543302 18:168.801172822 19:79.7842653666 20:141.0527465543 21:83.1274471787 22:75.1326024756 23:86.8997918808 24:112.5219717683 
9885.4 1:20.0933687396 2:20 3:149.3445928892 4:20 5:20 6:220.9793329059 7:97.3024702469 8:112.5559534232 9:160.19880399 10:20 11:107.6161504571 12:131.0236800952 13:89.7076616222 14:83.1239587839 15:106.3671478188 16:70.9190533136 17:75.5077485008 18:163.3818561679 19:71.147607464 20:90.6216081753 21:90.2709284062 22:75.5515687174 23:76.5631037942 24:106.4405134578 
11751.8 1:20.5195086125 2:22.0670198723 3:116.8767030286 4:20.8830973768 5:20 6:251.6200057388 7:99.1837295562 8:83.5588919941 9:126.7601616587 10:20 11:103.4388762392 12:133.9212412561 13:102.9157220123 14:82.5019574431 15:125.716556152 16:70.6479074143 17:79.9255236663 18:138.7108730333 19:75.1303609232 20:83.192782933 21:77.1616619523 22:67.5387671347 23:68.9470091551 24:95.6109916808 
